Target	Source	Reactome_Refs	"Journal source: open access (F), closed (restricted access) with information in accessible abstract (A), closed with information in full text (C)"	Reach_Refs	Reach_Literature-reference_statement	Reactome_Literature-reference_statement
CDC42	ABR	PMID7479768	F	PMID26310444;PMID27158467	"PMID26310444: This is surprising , given the supposition that Rho activity prevents Cdc42 from invading into the region adjacent to the wound by Abr mediated Cdc42 inactivation ( XREF_BIBR ) .;PMID27158467: Abr docks on active RhoA to generate a positive feedback loop that impinges on RhoA itself and simultaneously inhibits Cdc42 in the RhoA zone XREF_BIBR , XREF_BIBR ."	"PMID7479768: The Dbl-homology domains of Bcr and Abr were active in stimulating GTP binding to CDC42Hs, RhoA, Rac1, and Rac2 (rank order, CDC42Hs > RhoA > Rac1 = Rac2) but were inactive toward Rap1A and Ha-Ras."
CDC42	AKAP13	NO (PMID7721814)	F			"PMID7721814: Unlike Dbl, which stimulates the rate of GDP dissociation from both Cdc42Hs and RhoA (7) without affecting Ras, Rac1, and TC10, Lbc specifically accelerated the rate of GDP dissociation from RhoA while showing no detectable effects on GDP dissociation from Cdc42Hs or from Ras, Rac1, or TC10 (Fig. 3 D)."
CDC42	ARHGEF1	NO (PMID8810315;PMID23255595;PMID21454492)	"F,F,F"			"PMID8810315: ?N-p115 did not interact with GST-Cdc42, GST-Rac (Fig. 4C), or K-Ras (data not shown).;PMID23255595: from table and figures.;PMID21454492: This comparative study presents detailed kinetic data on specificity, activity, and regulation of the catalytic DH domains of four GEFs, namely p115, p190, PDZ-RhoGEF  (PRG), and leukemia-associated  RhoGEF (LARG). We demonstrate that (i) these GEFs are specific guanine nucleotide exchange factors for the Rho isoforms (RhoA, RhoB, and RhoC) and inactive toward other members of the  Rho family, including Rac1, Cdc42, and TC10."
CDC42	ARHGEF10	NO (PMID16896804)	A			"PMID16896804: As detected by guanine nucleotide exchange activity assay, precipitation assay of GTP-bound Rho proteins and serum response element dependent gene transcription Gef10 activates RhoA-C, but not Rac1 or Cdc42."
CDC42	ARHGEF10L	NO (PMID16112081)	A			"PMID16112081: In vitro, GrinchGEF induced the GDP/GTP exchange at RhoA, but not at Rac1 or Cdc42."
CDC42	ARHGEF11	NO (PMID10526156;PMID23255595;PMID21454492)	"F,F,F"			"PMID10526156: We report here that KIAA0380, a protein with a tandem DH/PH domain, an amino-terminal PDZ domain and a regulator of G protein signalling (RGS) homology domain, is a specific GEF for RhoA, but not for Rac1 and Cdc42, as determined by GDP release, guanosine 5?-O-(3-thio)triphosphate (GTP?S) binding and protein binding assays.;PMID23255595: from table and figures.;PMID21454492: This comparative study presents detailed kinetic data on specificity, activity, and regulation of the catalytic DH domains of four GEFs, namely p115, p190, PDZ-RhoGEF  (PRG), and leukemia-associated RhoGEF (LARG). We demonstrate that (i) these GEFs are specific guanine nucleotide exchange factors for the Rho isoforms (RhoA, RhoB, and RhoC) and inactive toward other members of the  Rho family, including Rac1, Cdc42, and TC10."
CDC42	ARHGEF12	NO (PMID11373293;PMID23255595;PMID21454492)	"F,F,F"			"PMID11373293: We performed in vitro exchange assays where the isolated Dbl homology (DH) or DH/pleckstrin homology domains of LARG functioned as a strong activator of RhoA, but exhibited no activity toward Rac1 or Cdc42. We found that LARG could complex with RhoA, but not Rac or Cdc42, in vitro, and that expression of LARG caused an increase in the levels of the activated GTP-bound form of RhoA, but not Rac1 or Cdc42, in vivo. PMID23255595: From table and figures.;PMID21454492: This comparative study presents detailed kinetic data on specificity, activity, and regulation of the catalytic DH domains of four GEFs, namely p115, p190, PDZ-RhoGEF  (PRG), and leukemia-associated  RhoGEF (LARG). We demonstrate that (i) these GEFs are specific guanine nucleotide exchange factors for the Rho isoforms (RhoA, RhoB, and RhoC) and inactive toward other members of the  Rho family, including Rac1, Cdc42, and TC10."
CDC42	ARHGEF15	PMID27145964	F	PMID23029280;PMID23029280;PMID27145964;PMID23029280;PMID23029280;PMID23029280;PMID27145964	"PMID23029280: Arhgef15 Promotes Retinal Angiogenesis by Mediating VEGF Induced Cdc42 Activation and Potentiating RhoJ Inactivation in Endothelial Cells .;PMID23029280: Of 9 RhoGEFs which were highly expressed in retinal ECs , we show that Arhgef15 acted as an EC specific GEF to mediate VEGF induced Cdc42 activation and potentiated RhoJ inactivation , thereby promoting actin polymerization and cell motility .;PMID27145964: We showed that upregulation of ARHGEF15 in pancreatic cancer increased activation of the Rho family proteins , especially RhoA , Cdc42 and Rac , resulting in enhanced motility of the pancreatic cancer cells .;PMID23029280: These results together indicate that Arhgef15 mediates VEGF induced Cdc42 activation and further potentiates RhoJ inactivation in ECs ( XREF_FIG ) .;PMID23029280: Furthermore , VEGF induced activation of Cdc42 was abrogated by Arhgef15 knockdown in human umbilical vascular ECs ( HUVECs , XREF_FIG and XREF_SUPPLEMENTARY ) .;PMID23029280: Arhgef15 Mediates VEGF induced Cdc42 Activation and Potentiates RhoJ Inactivation .;PMID27145964: ARHGEF15 gene silencing in Hs766T cells reduced the amounts of activated GTP-RhoA , -Rac1 and -Cdc42 at 72h ."	"PMID27145964: ARHGEF15 gene silencing in Hs766T cells reduced the amounts of activated GTP-RhoA, -Rac1 and -Cdc42 at 72 h (Fig. 3c and Additional file 3: Figure S2a). Then, we investigated the effect of ARHGEF15 overexpression on the amounts of the activated forms of the Rho-family proteins. Both AsPC-1 and MIAPaCa-2 cells, which showed low endogenous expression levels of ARHGEF15, were transiently transfected with an expression vector encoding ARHGEF15. Detection of the Halo tag attached to the ARHGEF15 protein confirmed that more than 50 % of the cells overexpressed the exogenous ARHGEF15 (Fig. 3d and e). Pull-down assay for active Rho-family proteins showed that the levels of GTP-bound active RhoA, Rac1 and Cdc42 were significantly increased in the AsPC-1 cells that showed ARHGEF15 overexpression (Fig. 3f)."
CDC42	ARHGEF16	NO (PMID20679435)	F	PMID24498060;PMID21139582;PMID21139582;PMID21139582;PMID21139582;PMID19707205	"PMID24498060: Three of the genes detected in our microarray analysis , CDC42EP , DOCK11 and ARHGEF16 encode proteins that modulate the activity of CDC42 : While CDC42EP negatively regulates CDC42 function , both DOCK11 and ARHGEF16 specifically activate CDC42 XREF_BIBR-XREF_BIBR .;PMID21139582: The HPV16 E6 binding protein Tip-1 interacts with ARHGEF16 , which activates Cdc42 .;PMID21139582: In vitro kinetic analysis confirmed that recombinant ARHGEF16 activates Cdc42 and this was increased by the addition of recombinant Tip-1 and E6 .;PMID21139582: These data suggest that HPV16 E6 , Tip-1 and ARHGEF16 may cooperate to activate Cdc42 and support a potential link between the expression of HPV16 E6 and Cdc42 activation .;PMID21139582: Cells expressing HPV16 E6 had higher levels of Cdc42 activation , which was decreased by siRNA silencing of either Tip-1 or ARHGEF16 .;PMID19707205: In addition , GEF16 possesses a potential Cdc42 binding motif ( Blanke and Jackle , 2006 ) and we have shown that GEF16 specifically activates Cdc42 in vitro and in cells ( See Supplementary Data Figure 1 , manuscript in preparation ) ."	"PMID20679435: However, we could observe no obvious increase in the activities of Rac1 and Cdc42 in HEK293T cells by expression of Ephexin4 in pull-down assays with GST-fused Cdc42/Rac1 interactive binding (CRIB) domain of Pak to precipitate GTP-bound active Rac1 or Cdc42 (Fig. 1, D and E; Dock180 and Zizimin1 were used as positive controls for activation of Rac1 and Cdc42, respectively)."
CDC42	ARHGEF17	NO (PMID12071859)	F	PMID22911862	"PMID22911862: In this assay , TEM4 accelerated the intrinsic guanine nucleotide exchange rate of RhoA , as previously shown XREF_BIBR , XREF_BIBR , and the closely related RhoB and RhoC isoforms ( XREF_FIG ) , but not Rac1 or Cdc42 ( XREF_FIG ) ."	PMID12071859: Recombinant p164 interacted with and induced GDP/GTP exchange at RhoA but not at Rac1 or Cdc42.
CDC42	ARHGEF18	NO (PMID14512443);NO (PMID11085924)	"F, F"			"PMID14512443: Importantly, p114RhoGEF did not activate Cdc42 (Figure 4C), suggesting the existence of mechanism to regulate the specificity of p114RhoGEF toward different Rho GTPases.;PMID11085924: In contrast, p114-Rho-GEF did not cause [3H]GDP release from Rac1 and Cdc42, amounting to 106.5  5.4% and 103.4  3.9% respectively of the values in the absence of p114-Rho-GEF."
CDC42	ARHGEF19	PMID15485661	A			"PMID15485661: WGEF was shown to activate RhoA, Cdc42, and Rac1 by pulldown assay, and forced expression of WGEF resulted in marked rearrangement of the actin cytoskeleton, which is typically seen by the activation of RhoA, Cdc42, and Rac1."
CDC42	ARHGEF2	NO (PMID11912491)	C			"PMID11912491: Both full-length and truncated versions of GEF-H1 promoted nucleotide exchange on RhoA, but not Rac1 or Cdc42 (Fig. 3a)."
CDC42	ARHGEF25	PMID12547822	F	PMID25879033	"PMID25879033: Although GEFT may activate both Rac1 and Cdc42 , its effect on neurite growth is possibly via Rac1 and PAK pathway [ XREF_BIBR ] ."	PMID12547822: GEFT has specific exchange activity for Rac and Cdc42 in our in vitro GTPase exchange assays and glutathione S-transferase-PAK pull-down assays with GTP-bound Rac1 and Cdc42.
CDC42	ARHGEF26	NO (PMID15133129)	F			"PMID15133129: Full-length Myc-SGEF efficiently activated Myc-RhoG, but not Rac or Cdc42."""
CDC42	ARHGEF28	NO (PMID11058585;PMID23255595;PMID21454492)	"F,F,F"	PMID23785489;PMID24409421	"PMID23785489: Mcf2l ( also known as Dbs or Ost ) is a Rho guanine nucleotide exchange factor ( GEF ) that activates RhoA and Cdc42 XREF_BIBR .;PMID24409421: Rac2 and CDC42 are activated by the Drosophila homolog of Rho guanine nucleotide exchange factor ( RhoGEF ) , Zir ( Sampson and Williams , XREF_BIBR , Sampson et al. , XREF_BIBR ) ."	"PMID11058585: Here we show that the isolated tandem Dbl homology/pleckstrin homology domain of p190RhoGEF activates RhoA in vitro, but not Rac1 or Cdc42, as determined by GDP release and protein binding assays.;PMID23255595: from table and figures.;PMID21454492: This comparative study presents detailed kinetic data on specificity, activity, and regulation of the catalytic DH domains of four GEFs, namely p115, p190, PDZ-RhoGEF  (PRG), and leukemia-associated RhoGEF (LARG). We demonstrate that (i) these GEFs are specific guanine nucleotide exchange factors for the Rho isoforms (RhoA, RhoB, and RhoC) and inactive toward other members of the  Rho family, including Rac1, Cdc42, and TC10."
CDC42	ARHGEF3	NO (PMID12221096)	F			"PMID12221096: In vitro, XPLN stimulates guanine nucleotide exchange on RhoA and RhoB, but not RhoC, RhoG, Rac1, or Cdc42."
CDC42	ARHGEF33	N/D				N/D
CDC42	ARHGEF35	N/D				N/D
CDC42	ARHGEF37	N/D				N/D
CDC42	ARHGEF38	N/D				N/D
CDC42	ARHGEF39	N/D				N/D
CDC42	ARHGEF4	PMID18653540;PMID22004470;PMID17214551;PMID23255595	"F, F, A,F"			"PMID18653540: In A431 cells or HeLa cells deficient for Asef, EGF-induced Cdc42 activation was significantly reduced, similar to cells deficient for Vav2 (Fig. 3A,B, supplementary material Fig. S1B and Fig. S4).;PMID22004470: Dbl, Vav2 and Asef exchanged Cdc42; Dbl, Vav2 and TrioN exchanged Rac1; and Dbl, Vav2 and TrioC exchanged RhoA.;PMID17214551: Here we investigated the specificity and regulation of Asef by measuring its GEF activity in vitro and observed hardly any activity towards Rac1, Rac2 and Rac3, or RhoA and TC10.;PMID23255595: The activities of ITSN1 and ASEF toward the Rho proteins are strikingly comparable being the far highest for Cdc42 (Fig. 2 A )."
CDC42	ARHGEF40	NO (PMID15107133)	F			"PMID15107133: In accordance with these findings, Scambio does not activate either Rac or Cdc42 but rather, stimulates guanine nucleotide exchange on RhoA and its close relative, RhoC."
CDC42	ARHGEF5	PMID15601624	C			PMID15601624: These data suggest that TIM is a potent activator of RhoA and also exhibits activity towards Rac1 and Cdc42 in vivo.
CDC42	ARHGEF6	PMID9659915;PMID21989057	"F, F"	PMID25601651;PMID24933155	PMID25601651: Knockdown of alpha-PIX in these moesin RNAi cells reduced the elevation of Cdc42 activity and rescued the migratory defects found in moesin knockdown cells ( XREF_FIG ) .;PMID24933155: Cdc42 is also activated by alphaPIX at the early endosome and transported to leading edge by Arf6 to regulate cell polarization XREF_BIBR .	"PMID9659915: Recombinant ?PIX155545 containing the DH domain was able to enhance GTP?S binding to various Rho p21s. As control, we used the DH domain of ABR (residues 104383), a GEF for Cdc42 and Rac1 (Chuang et al. 1995). Figure 6A shows the efficacy of PIX action in vitro to be in the order of Cdc42>Rac1>RhoA.;PMID21989057: These data indicate that the loss of ?Pix/Arhgef6 is associated with a significant decrease in active Cdc42 and Rac1, but not RhoA, in the hippocampus in vivo."
CDC42	ARHGEF7	NO (PMID9659915)	F	PMID21048939;PMID26783302	"PMID21048939: Of interest , CDC42 is activated by the guanine nucleotide exchange factor ARHGEF7 XREF_BIBR , leading to polymerization of actin and inducing protrusion of the cell membrane .;PMID26783302: Cdc42 activation in C2C12 Pcad beta-PIX shRNA cells could be rescued by expression of shRNA resistant wild-type beta-PIX ( beta-PIXWT ) , but not by a beta-PIX GEF dead mutant ( beta-PIXGD , Fig ."	PMID9659915: Cotransfected ?PIX reproducibly affected only GTP-Rac1 levels and not GTP-Cdc42 (lanes 3).
CDC42	ARHGEF9	PMID10559246;PMID23255595	"F,F"	PMID24367288;PMID26360781;PMID26633832;PMID23991421;PMID26363959;PMID23020525;PMID26599012;PMID24359616;PMID26633832;PMID23874428;PMID20676120	"PMID24367288: Cdc42 is activated by Collybistin and ARHGEF9 ( XREF_BIBR , XREF_BIBR ) , which has recently been identified as a candidate blood biomarker in psychosis ( XREF_BIBR ) .;PMID26360781: And this procedure was completed via ARHGEF9 mediated Cdc42 activation [ XREF_BIBR ] .;PMID26633832: In the present study , we show that the L. pneumophila quorum sensing compound LAI-1 inhibits cell migration through a signaling pathway involving IQGAP1 , Cdc42 and the Cdc42 activator ARHGEF9 .;PMID23991421: The CHD1L involves in metastasis by increasing cell motility , tumor cell migration , epithelial-mesenchymal transition ( EMT ) via ARHGEF9 mediated Cdc42 activation , invasion and inducing filopodia formation .;PMID26363959: In zebrafish , Cdc42 is activated by ARHGEF9 , which then activates the formin FMNL3 to induce filopodia during angiogenic sprouting of the caudal vein plexus [ XREF_BIBR ] .;PMID23020525: Our recent in vitro and in vivo functional studies in mice showed that CHD1L contributed to HCC cell aggressiveness by increasing cell motility and inducing filopodia formation and epithelial-mesenchymal transition ( EMT ) via ARHGEF9 mediated Cdc42 activation .;PMID26599012: CHD1L can contribute to tumor cell migration , invasion , and metastasis by increasing cell motility and inducing filopodia formation and EMT via ARHGEF9 mediated Cdc42 activation in HCC [ XREF_BIBR ] .;PMID24359616: Functional studies in vitro and in vivo showed that CHD1L contributed to tumor cell migration , invasion , and metastasis by increasing cell motility and inducing filopodia formation and epithelial-mesenchymal transition ( EMT ) via ARHGEF9 mediated Cdc42 activation .;PMID26633832: Interestingly , the depletion of the Cdc42 activator ARHGEF9 abolished LAI-1-mediated cell migration inhibition , whereas the depletion of several other Cdc42 modulators had no effect ( XREF_FIG ) .;PMID23874428: ARHGEF9 ( Cdc42 guanine nucleotide exchange factor 9 ) selectively activates Cdc42 XREF_BIBR .;PMID20676120: Both in vitro and in vivo functional studies found that CHD1L could increase cell motility , induce filopodia formation and the epithelial-mesenchymal transition ( EMT ) via ARHGEF9 mediated Cdc42 activation , all contributing to tumor cell invasion and metastasis 57 ( XREF_FIG ) ."	"PMID10559246: Employing biochemical activity assays for Rho-like GTPases we found that hPEM-2 specifically activates Cdc42 and not Rac or RhoA.;PMID23255595: Two other Cdc42-specific Dbl proteins are presumably hPem2 and Tuba, which exhibited rather moderate GEF activity (Fig. 2A; Table 2)."
CDC42	ECT2	PMID10579713;PMID22571869	"F, F"	PMID26306570;PMID25267293;PMID15642749;PMID23493057	"PMID26306570: During mitosis , Cdc42 but not Rac1 is activated by Ect2 and MgcRacGAPXREF_BIBRXREF_BIBR .;PMID25267293: Both proteins localize pancortically , and removing them simultaneously causes a partial loss of PAR-6 from the cortex , suggesting that CDC-42 is activated throughout the cortex by CGEF-1 , ECT-2 , and additional RhoGEFs .;PMID15642749: Overexpression of dominant negative mutants of Ect2 and MgcRacGAP , a Rho GTPase guanine nucleotide exchange factor and GTPase activating protein , respectively , or depletion of Ect2 by RNA interference suppresses this change of GTP-Cdc42 in mitosis .;PMID23493057: Ect2 was also shown to activate Cdc42 in the regulation of cell polarity , cell shape and epithelial-mesenchymal transition ( EMT ) via the Par complex ( Par-6 , Bazooka/Par-3, aPKC and Cdc42 ) [ XREF_BIBR ] yet evidence for Pbl using Cdc42 as a substrate is lacking [ XREF_BIBR ] ."	"PMID10579713: ECT2 catalyzes guanine nucleotide exchange on the small GTPases, RhoA, Rac1, and Cdc42.;PMID22571869: Furthermore, we identified two guanine nucleotide exchange factors (GEF), Ect2 and Trio, involved in TWEAK-induced activation of Cdc42 and Rac1, respectively."
CDC42	FGD1	PMID8994827	F	PMID23538840;PMID25356636	"PMID23538840: Activated Cdc42 also regulates export of bone specific proteins from the Golgi complex to the cell surface in osteoblasts via the GEF faciogenital dysplasia protein ( FGD1 ) [ XREF_BIBR ] , suggesting that Cdc42 also exerts functions in post-Golgi trafficking .;PMID25356636: Frabin ( FGD1 related F-actin binding protein ) , a known Cdc42 specific GEF XREF_BIBR that binds PIPs via two PH and one FYVE domain XREF_BIBR , can induce Cdc42 activation in the vicinity of actin structures leading to filopodia formation XREF_BIBR ."	"PMID8994827: Instead, the injected cells showed large numbers of striking filopodial extensions; we conclude that FGD1 promotes nucleotide exchange on Cdc42, but not Rac or Rho."
CDC42	FGD2	PMID18838382	F			"PMID18838382: Full-length FGD2 was found to mediate Cdc42 activation in several additional experiments (not shown), using either the ACK1-Crib GST or WASP-Crib GST fusion proteins in the pull-down assay."
CDC42	FGD3	PMID18363964	F	PMID26306008	"PMID26306008: Because FGD3 is expressed in the growth plate cartilage ( XREF_FIG ) , reduced GEF activity of FGD3 might reduce the active Cdc42 at the lateral membrane of chondrocytes , which may lead to columnar disorganization of chondrocytes seen in both limb bud mesenchyme specific inactivated Cdc42 ( Cdc42 fl/fl , Prx1-Cre ) mice [ XREF_BIBR ] and chondrocyte specific inactivated Cdc42 ( Cdc42 fl/fl , Col2-Cre ) mice [ XREF_BIBR ] ."	"PMID18363964: These results suggest that FGD3 acts as a Cdc42 GEF, and induces lamellipodia formation through Cdc42-induced activation of Rac."
CDC42	FGD4	PMID10464238	F	PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722;PMID22589722	"PMID22589722: In contrast , co-expression of FGD4 with CD40CT did not promote Cdc42 activation ( 1.1-fold ) .;PMID22589722: As shown in XREF_FIG , expression of Myc-FGD4 ( FL ) activated Cdc42 compared with the vector control , increasing the level of active Cdc42 by 3.3- ( right panel ) and 7.8-fold ( left panel ) in two different experiments .;PMID22589722: Intriguingly , the FAB-DH form of FGD4 , which interacts poorly with LMP1 , could still inhibit LMP1 induced Cdc42 activation , probably by competing with full-length FGD4 for access to Cdc42 .;PMID22589722: As shown in XREF_FIG , depletion of FGD4 consistently eliminated LMP1 mediated Cdc42 activation , reducing Cdc42 activation from a 3.0-fold increase to a 1.0-fold increase .;PMID22589722: In line with this , deletion of the PH1-to-PH2 domains of FGD4 substantially impairs its activation of Cdc42 ( XREF_FIG ) , indicating that membrane and lipid association is involved in the regulation of FGD4 activity .;PMID22589722: Serial deletion experiments and co-immunoprecipitation assays further revealed that ectopically expressed FGD4 modulated LMP1 mediated Cdc42 activation by interacting with LMP1 .;PMID22589722: As shown in XREF_FIG , knockdown of FGD4 ( siFGD4 ) reduced the LMP1 induced Cdc42 activation from the 2.3-fold increase observed in control siRNA ( siCtrl )-treated cells to a 0.8-fold increase .;PMID22589722: In fibroblasts , it has been shown that rat Fgd4 binds along the sides of F-actin through the FAB domain and directly induces activation of Cdc42 in the vicinity of actin structures , resulting in actin reorganization XREF_BIBR .;PMID22589722: We propose that the functionally impaired forms of FGD4 ( DeltaDH and PH1-2 ) inhibit LMP1 induced Cdc42 activation by competitively impeding the interaction between LMP1 and full-length FGD4 ( XREF_SUPPLEMENTARY ) .;PMID22589722: A quantitative analysis of data from five independent experiments further reinforced the inhibitory effect of FGD4 knockdown on LMP1 induced Cdc42 activation ( XREF_FIG ) .;PMID22589722: This reduced cell motility was associated with a decreased level of LMP1 activation of Cdc42 , knockdown of FGD4 decreased the fold-increase in active Cdc42 from 4.7 to 0.9 , and knockdown of Cdc42 decreased active Cdc42 to undetectable levels ( XREF_FIG ) .;PMID22589722: The results showed that co-expression of Myc-FGD4 with LMP1 increased the level of active Cdc42 by 1.8-fold compared with expression of FGD4 alone ( XREF_FIG ) .;PMID22589722: In contrast , co-expression of LMP1 with the truncated forms of FGD4 that exhibited impaired FGD4 activities ( DeltaDH , PH1-2 , and FAB-DH ) instead reduced LMP1 mediated Cdc42 activation on average by 62 % , 50 % , and 39 % , respectively ( XREF_FIG ) , revealing that FGD4 indeed acts downstream of LMP1 to modulate Cdc42 activation .;PMID22589722: As shown in XREF_FIG , knockdown of FGD4 consistently reversed LMP1 mediated Cdc42 activation , reducing the fold-increase from 2.3 to 0.5 , indicating that this effect was not restricted to NPC cells .;PMID22589722: FGD4 modulates LMP1 induced Cdc42 activation through protein protein interaction ."	"PMID10464238: We found here that the fragment of frabin containing DHD and first PHD stimulated guanine nucleotide exchange of Cdc42Hs small G protein, but not that of RhoA or Rac1 small G protein."
CDC42	GNA13	PMID27096001	F	PMID15534370	"PMID15534370: RhoA is a clear candidate as a downstream effector for the Galpha13 thymocyte survival pathway since biochemical and cell biological evidence has been reported that Galpha13 specifically activates RhoA but not Rac or Cdc42 ( XREF_BIBR , XREF_BIBR , XREF_BIBR ) ."	PMID27096001: Results from our analysis indicated that Ric-8A preferentially enhanced the G?13-mediated activation of Cdc42 (Figure ?(Figure4C).4C).
CDC42	ITSN1	PMID11584276;PMID23255595	"A,F"			"PMID11584276: We now show that intersectin-l functions through its DH domain as a guanine nucleotide exchange factor (GEF) for Cdc42.;PMID23255595: The data presented in Fig. 1 show that the investigated Dbl proteins exhibit high selectivity for the Rho, Cdc42, and Rac proteins. These include LARG, PRG, p190, and p115, which are specific for RhoA, RhoB, and RhoC; Tiam1 for Rac1, Rac2, and Rac3; and ASEF, ITSN1, hPem2, and Tuba for Cdc42, whereas TrioN, Vav2, Dbs, Dbl, and PRex1 turned out to exhibit a surprisingly broad range of activity."
CDC42	KALRN	N/D				N/D
CDC42	MCF2	PMID15157669;PMID23255595	"A,F"	PMID22906997;PMID17984318;PMID20939895	"PMID22906997: This was surprising given that Dbl is an activator ( guanine nucleotide exchange factor or GEF ) for the RhoA GTPase.XREF _ BIBR However , Dbl also strongly activates Cdc42 , XREF_BIBR which therefore raised the possibility that Cdc42 either antagonizes the formation of MVs or stimulates the shedding of these vesicles , thus leaving fewer vesicles behind on the cell surface .;PMID17984318: A suggested pH dependent scaffolding by NHE1 ( XREF_BIBR ) is also a putative mechanism because NHE1 binds PI ( 4,5 ) P2 ( XREF_BIBR ) and the ezrin-radixin-moesin protein ezrin ( XREF_BIBR ) , and ezrin is suggested to sequester Dbl to plasma membrane microdomains ( XREF_BIBR ) and to regulate Dbl activation of Cdc42 ( XREF_BIBR ) .;PMID20939895: The overexpression of Dbl has previously been shown to activate Rho and Cdc42 , but we found no evidence for Cdc42 activation after LKB1 expression in HeLa-S3 cells ."	"PMID15157669: By employing a novel method to detect the active GTP-bound form of Cdc42 in situ, we demonstrate that Dbl-I and Ost-I, but neither Dbl-II nor Ost-II, indeed activate colocalized Cdc42.;PMID23255595: from table and figures."
CDC42	MCF2L	PMID15157669;PMID10523665;PMID23255595	"A,F,F"			"PMID15157669: By employing a novel method to detect the active GTP-bound form of Cdc42 in situ, we demonstrate that Dbl-I and Ost-I, but neither Dbl-II nor Ost-II, indeed activate colocalized Cdc42.;PMID10523665: Purified GST-Dbs DH-PH was highly effective in stimulating the dissociation of [3H]GDP from bacterially expressed RhoA and Cdc42, but not Rac1 or Ras (Fig. 2A).;PMID23255595: from table and figures."
