Text size	#Index cards	Time(secs)
1639	3	2.289561987
3272	2	5.27367115
1399	6	3.347086191
2190	8	4.21081686
1637	8	2.401397944
1608	2	2.354985952
1169	0	1.482731104
2503	0	2.331907034
1491	8	1.943490028
1075	1	1.63378787
2161	2	4.809817076
1752	8	2.010159969
2503	0	2.110913038
1690	4	1.935448885
2360	20	2.885684967
1793	10	2.391019106
1684	7	1.663683891
2074	10	3.648947954
1710	4	2.434482098
2265	12	3.014729023
1433	2	1.625393152
2503	0	2.276953936
1605	5	2.262701035
2503	0	2.319698095
1605	5	2.394774914
2010	3	2.471151114
2503	0	2.200685024
2368	3	3.790261984
1938	22	2.433102846
1637	8	2.42178297
1857	0	2.005563021
2049	1	3.671545029
2503	0	2.325920105
1639	3	2.195406914
3272	2	5.259468079
1399	6	3.238218069
2190	8	3.768103123
1075	1	1.436203957
2161	2	4.491608858
1657	4	1.729037046
1075	1	1.582994938
1690	4	1.719002962
2340	16	2.583476067
1244	5	1.232428074
2093	2	2.57921505
2368	3	3.521311998
1938	22	2.380540133
2248	4	2.733789921
1788	1	2.236932039
1799	3	2.066054106
2503	0	2.029217005
1548	1	1.545949936
1637	8	7.447510958
1338	1	1.269178867
1196	1	1.189541101
2503	0	2.056049109
1911	2	2.168560982
1985	1	2.517168045
1832	4	1.976263046
2508	2	3.179203033
2503	0	2.118656874
2160	10	3.934962988
2049	1	3.233604908
1363	0	1.179654121
1772	7	3.054389954
1637	8	2.214625835
1857	0	2.037533998
2049	1	3.243344069
2503	0	2.067270994
2088	2	2.370224953
2830	4	3.130358934
1857	0	1.93600893
1639	3	2.047627926
2503	0	2.063494921
1878	0	1.802307129
1788	1	2.267726898
2177	5	3.383625984
2503	0	2.125348091
1196	1	1.21186614
2013	1	1.953837872
2503	0	2.056934834
1282	1	1.233985901
1303	0	1.386415958
2503	0	2.107020855
1986	11	1.927937031
1336	6	1.360497952
1437	3	2.795892954
1632	1	1.806512833
2503	0	2.050796032
2278	5	4.379112005
2503	0	2.103536129
1847	7	1.708687067
2503	0	2.16666007
1196	1	1.197101116
2503	0	2.104688883
3258	7	3.396786928
2503	0	2.057494164
1639	3	2.072808027
1659	2	2.07229495
1298	2	1.440315008
2503	0	2.06567502
2356	0	14.20976186
2689	4	2.664587021
1490	3	1.343460083
1183	3	1.050013065
1262	3	2.240753889
2356	0	14.43457603
2503	0	2.068168879
2162	13	2.68848896
2356	0	14.38571
2503	0	2.080173016
3272	2	4.860616922
1947	8	2.342314959
2206	4	2.453197956
2485	22	2.59166193
1689	10	2.000210047
1399	6	3.17039609
1349	0	1.15358901
1835	2	2.148307085
1946	9	2.039632082
2503	0	2.088541985
2356	0	14.29203296
1947	11	2.458595991
1835	2	2.233273983
1743	2	2.578992844
1491	8	1.777892113
1675	13	2.832391977
1690	4	1.712029934
1835	2	2.187769175
2503	0	2.084946871
2010	3	2.173647881
1835	2	2.184082985
2503	0	2.14709115
1508	10	1.53116107
2368	3	3.525837898
2068	10	2.369357109
1742	5	1.850466013
1716	3	1.983800888
2049	1	3.365044832
2049	1	3.235923052
1835	2	2.136307001
1741	3	2.098752975
2503	0	2.068977833
2088	2	2.402190924
1659	2	2.102883101
2356	0	14.31915402
2503	0	2.06269002
1490	3	1.397936821
1183	3	1.054214954
2356	0	14.39604902
2503	0	2.047257185
2356	0	14.10801411
2503	0	2.084707975
2206	4	2.452620983
1850	7	3.116162777
1835	2	2.159063101
2356	0	14.31059814
2503	0	2.098209858
1947	11	2.474709988
1835	2	2.162286043
1675	13	2.848623037
2195	14	2.805608988
1835	2	2.116569996
2503	0	2.080009937
1835	2	2.113678932
2503	0	2.081545115
2195	14	2.771105051
2503	0	2.086408854
1835	2	2.097899914
1741	3	2.047029972
2503	0	2.077232122
1659	2	2.061925173
2356	0	14.336169
2503	0	2.089489937
1490	3	1.341351032
1183	3	1.034156084
2356	0	14.3648262
2503	0	2.080548048
2356	0	14.29243994
2503	0	2.061549902
2206	4	2.51441884
1835	2	2.085084915
2356	0	14.49064398
2503	0	2.240866899
1743	2	2.586843967
1675	13	2.870615005
1835	2	2.134752035
2503	0	2.081227064
1835	2	2.155634165
2503	0	2.119897842
2503	0	2.07702899
1835	2	2.149984121
2503	0	2.07613802
1477	9	2.262773037
1762	4	2.02029705
1958	4	2.303527117
1675	13	2.834204912
2503	0	2.073289156
1965	5	2.149186134
277	1	0.241760969
2088	2	2.415302038
1861	3	2.104808807
2503	0	2.126329899
2264	9	2.704077959
2503	0	2.072021961
1964	5	2.304942846
2508	2	3.131978989
2503	0	2.055548906
1741	3	2.07624507
1741	3	2.076933861
2503	0	2.057394981
2088	2	2.347787142
2503	0	2.061281204
2503	0	2.059023857
2503	0	2.076544046
1515	6	1.538512945
2503	0	2.087489128
2656	2	3.102525949
