Text size	#Index cards	Time(secs)
37312	120	112.683585882
20851	24	32.810642004
51340	173	136.149065018
37312	120	114.405421972
49479	116	119.33513689
20851	24	31.0667390823
57664	127	124.088405132
59642	61	80.7143850327
56713	36	135.580963135
58458	61	115.055500984
40480	35	56.6757819653
37312	120	112.01779604
33451	40	63.0149970055
34758	23	91.5923330784
34758	23	89.5546910763
39268	52	70.1690981388
20851	24	32.071105957
34758	23	89.5922939777
34758	23	88.791121006
34758	23	88.3701970577
33451	40	63.9724750519
34758	23	90.0177459717
34758	23	89.1074981689
43285	140	94.431427002
34758	23	88.4873430729
34758	23	89.6740591526
43285	140	93.282692194
34758	23	88.4805660248
33451	40	64.042755127
34758	23	89.1432008743
39268	52	69.4429841042
34758	23	88.0186672211
34758	23	89.4157440662
34758	23	95.0391550064
62072	247	200.419842005
45132	62	61.1539399624
